日期,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20200129,7738,1728,125,22,7443,1668,170,38,0,0,0,0
20200130,9714,1976,170,45,9331,1888,213,43,0,0,0,0
20200131,11820,2106,241,71,11320,1989,259,46,0,0,0,0
20200201,14408,2588,330,89,13774,2454,304,45,0,0,0,0
20200202,17238,2830,478,148,16399,2625,361,57,0,0,0,0
20200203,20468,3230,643,165,19400,3001,425,64,0,0,0,0
20200204,24363,3895,891,248,22981,3581,491,66,0,0,0,0
20200205,28068,3705,1146,255,26358,3377,564,73,0,0,0,0
20200206,31209,3141,1530,384,29042,2684,637,73,0,0,0,0
20200207,34612,3403,2042,512,31847,2805,723,86,0,0,0,0
20200208,37250,2638,2649,607,33789,1942,812,89,0,0,0,0
20200209,40222,2972,3273,624,36040,2251,909,97,0,0,0,0
20200210,42707,2485,3994,721,37696,1656,1017,108,0,0,0,0
20200211,44730,2023,4738,744,38878,1182,1114,97,0,0,0,0
20200212,59878,15148,5911,1173,52600,13722,1367,253,0,0,0,0
20200213,63933,4055,6993,1082,55451,2851,1489,122,0,0,0,0
20200214,66574,2641,8094,1101,56956,1505,1524,35,0,0,0,0
20200215,68580,2006,9415,1321,57499,543,1666,142,0,0,0,0
20200216,70632,2052,10851,1436,58009,510,1772,106,0,0,0,0
20200217,72528,1896,12557,1706,58101,92,1870,98,0,0,0,0
20200218,74277,1749,14378,1821,57893,-208,2006,136,0,0,0,0
20200219,74672,395,16153,1775,56399,-1494,2120,114,0,0,0,0
20200220,75567,895,18266,2113,55062,-1337,2239,119,0,0,0,0
20200221,76392,825,20674,2408,53370,-1692,2348,109,0,0,0,0
20200222,77041,649,22908,2234,51688,-1682,2445,97,0,0,0,0
20200223,77262,221,24758,1850,49909,-1779,2595,150,0,0,0,0
20200224,77779,517,27354,2596,47759,-2150,2666,71,0,0,0,0
20200225,78190,411,29776,2422,45696,-2063,2718,52,0,0,0,0
20200226,78630,440,32532,2756,43351,-2345,2747,29,0,0,0,0
20200227,78959,329,36156,3624,40012,-3339,2791,44,0,0,0,0
20200228,79388,429,39035,2879,37516,-2496,2837,46,0,0,0,0
20200229,79968,580,41675,2640,35420,-2096,2873,36,0,0,0,0
20200301,80174,206,44519,2844,32740,-2680,2915,42,0,0,0,0
20200302,80302,128,47248,2729,30107,-2633,2947,32,0,0,0,0
20200303,80422,120,49902,2654,27536,-2571,2984,37,0,0,0,0
20200304,80566,144,52097,2195,25454,-2082,3015,31,0,0,0,0
20200305,80711,145,53781,1684,23885,-1569,3045,30,0,0,0,0
20200306,80813,102,55465,1684,22275,-1610,3073,28,0,0,0,0
20200307,80859,46,57131,1666,20628,-1647,3100,27,0,0,0,0
20200308,80904,45,58672,1541,19109,-1519,3123,23,0,0,0,0
20200309,80924,20,59970,1298,17814,-1295,3140,17,0,0,0,0
20200310,80955,31,61555,1585,16238,-1576,3162,22,0,0,0,0
20200311,80980,25,62874,1319,14933,-1305,3173,11,0,0,0,0
20200312,80991,11,64204,1330,13607,-1326,3180,7,0,0,0,0
20200313,81021,30,65649,1445,12178,-1429,3194,14,0,0,0,0
20200314,81048,27,67022,1373,10822,-1356,3204,10,0,0,0,0
20200315,81079,31,67863,841,9998,-824,3218,14,0,0,0,0
20200316,81116,37,68799,936,9086,-912,3231,13,0,0,0,0
20200317,81151,35,69725,926,8184,-902,3242,11,0,0,0,0
20200318,81237,86,70547,822,7440,-744,3250,8,0,0,0,0
20200319,81301,64,71284,737,6764,-676,3253,3,0,0,0,0
20200320,81416,115,71876,592,6279,-485,3261,8,0,0,0,0
20200321,81498,82,72382,506,5849,-430,3267,6,0,0,0,0
20200322,81601,103,72841,459,5484,-365,3276,9,0,0,1,1
20200323,81747,146,73299,458,5165,-319,3283,7,0,0,1,0
20200324,81847,100,73791,492,4769,-396,3287,4,0,0,30,29
20200325,81961,114,74196,405,4472,-297,3293,6,0,0,78,48
20200326,82079,118,74737,541,4044,-428,3298,5,0,0,121,43
20200327,82213,134,75122,385,3790,-254,3301,3,0,0,121,0
20200328,82341,128,75600,478,3435,-355,3306,5,0,0,505,384
20200329,82447,106,75937,337,3199,-236,3311,5,0,0,275,-230
20200330,82547,100,76225,288,3008,-191,3314,3,0,0,312,37
20200331,82631,84,76415,190,2895,-113,3321,7,0,0,301,-11
20200401,82724,93,76604,189,2793,-102,3327,6,0,0,301,0
20200402,82802,78,76786,182,2685,-108,3331,4,0,0,0,-301
20200403,82875,73,76984,198,2556,-129,3335,4,0,0,0,0
20200404,82930,55,77210,226,2382,-174,3338,3,0,0,295,295
20200405,83005,75,77348,138,2317,-65,3340,2,0,0,303,8
20200406,83071,66,77450,102,2281,-36,3340,0,0,0,282,-21
20200407,83160,89,77586,136,2232,-49,3342,2,0,0,0,-282
20200408,83249,89,77711,125,2194,-38,3344,2,0,0,0,0
20200409,83305,56,77838,127,2122,-72,3345,1,0,0,310,310
20200410,83386,81,77935,97,2102,-20,3349,4,0,0,327,17
20200411,83482,96,78020,85,2113,11,3349,0,0,0,327,0
20200412,83597,115,78145,125,2101,-12,3351,2,0,0,410,83
20200413,83696,99,78262,117,2083,-18,3351,0,0,0,415,5
20200414,83745,49,78389,127,2004,-79,3352,1,0,0,428,13
20200415,83797,52,78504,115,1941,-63,3352,0,0,0,761,333
20200416,84149,352,77635,-869,1872,-69,4642,1290,0,0,761,0
20200417,84180,31,77744,109,1794,-78,4642,0,0,0,761,0
20200418,84201,21,77825,81,1734,-60,4642,0,0,0,761,0
20200419,84237,36,77895,70,1700,-34,4642,0,0,0,766,5
20200420,84250,13,77978,83,1630,-70,4642,0,0,0,768,2
20200421,84287,37,78042,64,1603,-27,4642,0,0,0,1395,627
20200422,84302,15,78147,105,1513,-90,4642,0,0,0,1399,4
20200423,84311,9,78236,89,1433,-80,4642,0,0,0,1399,0
20200424,84324,13,78362,126,1320,-113,4642,0,0,0,1399,0
20200425,84338,14,78450,88,1246,-74,4642,0,0,0,1399,0
20200426,84341,3,78558,108,1140,-106,4643,1,0,0,1399,0
20200427,84347,6,78664,106,1040,-100,4643,0,0,0,1399,0
20200428,84369,22,78729,65,997,-43,4643,0,0,0,1399,0
20200429,84373,4,78785,56,945,-52,4643,0,0,0,1399,0
20200430,84385,12,78845,60,897,-48,4643,0,0,0,1399,0
20200501,84388,3,78905,60,840,-57,4643,0,0,0,1399,0
20200502,84393,5,78939,34,811,-29,4643,0,0,0,1415,16
20200503,84400,7,79016,77,741,-70,4643,0,0,0,1471,56
20200504,84404,4,79126,110,635,-106,4643,0,0,0,1475,4
20200505,84406,2,79204,78,559,-76,4643,0,0,0,1475,0
20200506,84409,3,79268,64,498,-61,4643,0,0,0,1476,1
20200507,84415,6,79324,56,448,-50,4643,0,0,0,1476,0
20200508,84416,1,79401,77,372,-76,4643,0,0,0,1476,0
20200509,84430,14,79488,87,299,-73,4643,0,0,0,1476,0
20200510,84450,20,79533,45,274,-25,4643,0,0,0,1476,0
20200511,84451,1,79566,33,241,-33,4644,1,0,0,1476,0
20200512,84458,7,79594,28,220,-21,4644,0,0,0,1476,0
20200513,84464,6,79621,27,199,-21,4644,0,0,0,1476,0
20200514,84469,5,79644,23,181,-18,4644,0,0,0,1476,0
20200515,84478,9,79668,24,166,-15,4644,0,0,0,1476,0
20200516,84484,6,79682,14,157,-9,4645,1,0,0,1476,0
20200517,84494,10,79701,19,148,-9,4645,0,0,0,1476,0
20200518,84503,9,79708,7,150,2,4645,0,0,0,1476,0
20200519,84505,2,79715,7,145,-5,4645,0,0,0,1476,0
20200520,84507,2,79722,7,140,-5,4645,0,0,0,1476,0
20200521,84520,13,79736,14,139,-1,4645,0,0,0,1476,0
20200522,84522,2,79740,4,137,-2,4645,0,0,0,1476,0
20200523,84525,3,79746,6,134,-3,4645,0,0,0,1476,0
20200524,84536,11,79757,11,134,0,4645,0,0,0,1476,0
20200525,84543,7,79767,10,131,-3,4645,0,0,0,1476,0
20200526,84544,1,79774,7,125,-6,4645,0,0,0,1476,0
20200527,84547,3,79786,12,116,-9,4645,0,0,0,1476,0
20200528,84547,0,79791,5,111,-5,4645,0,0,0,1476,0
20200529,84565,18,79802,11,118,7,4645,0,0,0,1489,13
20200530,84570,5,79807,5,118,0,4645,0,0,0,1492,3
20200531,84588,18,79812,5,131,13,4645,0,0,0,1492,0
20200601,84597,9,79824,12,128,-3,4645,0,0,0,1492,0
20200602,84602,5,79824,0,133,5,4645,0,0,0,1492,0
20200603,84603,1,79831,7,127,-6,4645,0,0,0,1492,0
20200604,84614,11,79842,11,127,0,4645,0,0,0,1492,0
20200605,84620,6,79848,6,127,0,4645,0,0,0,1492,0
20200606,84629,9,79853,5,131,4,4645,0,0,0,1492,0
20200607,84634,5,79864,11,125,-6,4645,0,0,0,1492,0
20200608,84638,4,79875,11,118,-7,4645,0,0,0,1492,0
20200609,84640,2,79882,7,113,-5,4645,0,0,0,1492,0
20200610,84651,11,79887,5,119,6,4645,0,0,0,1492,0
20200611,84658,7,79895,8,118,-1,4645,0,0,0,1492,0
20200612,84671,13,79903,8,123,5,4645,0,0,0,1492,0
20200613,84729,58,79905,2,179,56,4645,0,0,0,1492,0
20200614,84778,49,79913,8,220,41,4645,0,0,0,1492,0
20200615,84823,45,79922,9,256,36,4645,0,0,0,1492,0
20200616,84867,44,79926,4,296,40,4645,0,0,0,1492,0
20200617,84903,36,79944,18,314,18,4645,0,0,0,1492,0
20200618,84940,37,79949,5,346,32,4645,0,0,0,1492,0
20200619,84970,30,79963,14,362,16,4645,0,0,0,1492,0
20200620,84997,27,79968,5,383,21,4646,1,0,0,1492,0
20200621,85018,21,79969,1,403,20,4646,0,0,0,1492,0
