日期,确诊总数,治愈总数,死亡人数,感染死亡率,感染治愈率,住院死亡率,住院治愈率
20200129,7738,125,38,0.004910829671749806,0.016154044972861204,0.2331288343558282,0.7668711656441718
20200130,9714,170,43,0.004426600782375952,0.017500514721021206,0.20187793427230047,0.7981220657276995
20200131,11820,241,46,0.0038917089678511,0.02038917089678511,0.1602787456445993,0.8397212543554007
20200201,14408,330,45,0.0031232648528595223,0.022903942254303165,0.12,0.88
20200202,17238,478,57,0.0033066481030281933,0.027729434969253973,0.10654205607476636,0.8934579439252337
20200203,20468,643,64,0.003126832128200117,0.03141489153801055,0.09052333804809053,0.9094766619519095
20200204,24363,891,66,0.0027090259820219185,0.0365718507572959,0.06896551724137931,0.9310344827586207
20200205,28068,1146,73,0.0026008265640587148,0.04082941427960667,0.05988515176374077,0.9401148482362592
20200206,31209,1530,73,0.002339068858342145,0.049024319907718925,0.045539613225202745,0.9544603867747973
20200207,34612,2042,86,0.002484687391656073,0.058996879694903505,0.040413533834586464,0.9595864661654135
20200208,37250,2649,89,0.002389261744966443,0.07111409395973155,0.032505478451424395,0.9674945215485756
20200209,40222,3273,97,0.0024116155337874797,0.08137337775346826,0.028783382789317507,0.9712166172106825
20200210,42707,3994,108,0.0025288594375629287,0.09352096845950313,0.026328620185275476,0.9736713798147245
20200211,44730,4738,97,0.0021685669572993516,0.1059244355019003,0.020062047569803516,0.9799379524301964
20200212,59878,5911,253,0.004225258024650122,0.09871739203046194,0.041044776119402986,0.9589552238805971
20200213,63933,6993,122,0.0019082476968075954,0.1093801323260288,0.01714687280393535,0.9828531271960647
20200214,66574,8094,35,0.0005257307657644126,0.12157899480277586,0.004305572641161275,0.9956944273588387
20200215,68580,9415,142,0.0020705745115193936,0.13728492271799358,0.014858219106414147,0.9851417808935858
20200216,70632,10851,106,0.0015007362102163325,0.15362725110431533,0.009674180888929452,0.9903258191110705
20200217,72528,12557,98,0.0013512022942863446,0.17313313478932274,0.007743974713551956,0.9922560252864481
20200218,74277,14378,136,0.0018309840192791847,0.19357270756761852,0.009370263194157366,0.9906297368058427
20200219,74672,16153,114,0.001526676665952432,0.2163193700449968,0.007008053113665704,0.9929919468863343
