日期,省份,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20210830,台湾,15991,8,13673,0,1484,8,834,0,0,0,485,0
20210830,江苏,1089,22,839,10,248,12,2,0,0,3,22,16
20210830,云南,1589,0,1399,73,190,-73,0,0,0,5,3,0
20210830,河南,2480,4,2360,2,113,2,7,0,0,5,393,0
20210830,上海,12110,3,11786,3,112,0,212,0,0,0,181,0
20210830,湖南,1528,0,1409,5,97,-5,22,0,0,2,1,0
20210830,湖北,1181,0,1087,4,90,-4,4,0,0,0,2,0
20210830,广东,68290,0,63706,1,72,-1,4512,0,0,1,25,0
20210830,香港,3059,4,2985,10,66,-6,8,0,0,0,25,0
20210830,福建,1430,0,1384,0,45,0,1,0,0,0,68,0
20210830,浙江,473,1,427,1,43,0,3,0,0,0,50,0
20210830,山东,925,1,884,1,34,0,7,0,0,0,14,0
20210830,天津,788,2,757,2,30,0,1,0,0,0,15,0
20210830,四川,1116,1,1084,0,23,1,9,0,0,0,164,0
20210830,北京,1190,2,1168,2,19,0,3,0,0,0,22,0
20210830,陕西,289,0,273,0,14,0,2,0,0,0,0,0
20210830,广西,446,0,434,0,10,0,2,0,0,0,0,0
20210830,辽宁,669,0,660,0,6,0,3,0,0,0,4,0
20210830,重庆,259,0,254,0,5,0,0,0,0,0,64,0
20210830,澳门,1615,0,1599,0,3,0,13,0,0,0,394,0
20210830,内蒙古,63,0,60,0,3,0,0,0,0,0,9,0
20210830,甘肃,603,0,595,0,2,0,6,0,0,0,15,0
20210830,海南,412,0,409,0,2,0,1,0,0,0,35,0
20210830,黑龙江,574,0,570,0,1,0,3,0,0,0,19,0
20210830,吉林,190,0,183,0,1,0,6,0,0,0,18,0
20210830,山西,1317,0,1310,0,0,0,7,0,0,0,0,0
20210830,宁夏,1008,0,1002,0,0,0,6,0,0,0,2,0
20210830,河北,980,0,977,0,0,0,3,0,0,0,0,0
20210830,安徽,937,0,936,0,0,0,1,0,0,0,0,0
20210830,新疆,199,0,197,0,0,0,2,0,0,0,0,0
20210830,江西,147,0,145,0,0,0,2,0,0,0,0,0
20210830,贵州,77,0,77,0,0,0,0,0,0,0,0,0
20210830,青海,18,0,18,0,0,0,0,0,0,0,0,0
20210830,西藏,1,0,1,0,0,0,0,0,0,0,0,0
