日期,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20200129,6,0,0,0,6,0,0,0,0,0,0,0
20200130,8,2,0,0,8,2,0,0,0,0,0,0
20200131,9,1,0,0,9,1,0,0,0,0,0,0
20200201,9,0,0,0,9,0,0,0,0,0,0,0
20200202,13,4,0,0,13,4,0,0,0,0,0,0
20200203,15,2,0,0,15,2,0,0,0,0,0,0
20200204,17,2,0,0,17,2,0,0,0,0,0,0
20200205,18,1,3,3,15,-2,0,0,0,0,0,0
20200206,18,0,3,0,15,0,0,0,0,0,0,0
20200207,18,0,3,0,15,0,0,0,0,0,0,0
20200208,18,0,3,0,15,0,0,0,0,0,0,0
20200209,18,0,3,0,15,0,0,0,0,0,0,0
20200210,18,0,3,0,15,0,0,0,0,0,0,0
20200211,18,0,5,2,13,-2,0,0,0,0,0,0
20200212,18,0,9,4,9,-4,0,0,0,0,0,0
20200213,18,0,11,2,7,-2,0,0,0,0,0,0
20200214,18,0,11,0,7,0,0,0,0,0,0,0
20200215,18,0,13,2,5,-2,0,0,0,0,0,0
20200216,18,0,13,0,5,0,0,0,0,0,0,0
20200217,18,0,13,0,5,0,0,0,0,0,0,0
20200218,18,0,15,2,3,-2,0,0,0,0,0,0
20200219,18,0,16,1,2,-1,0,0,0,0,0,0
20200220,18,0,16,0,2,0,0,0,0,0,0,0
20200221,18,0,18,2,0,-2,0,0,0,0,0,0
20200222,18,0,18,0,0,0,0,0,0,0,0,0
20200223,18,0,18,0,0,0,0,0,0,0,0,0
20200224,18,0,18,0,0,0,0,0,0,0,0,0
20200225,18,0,18,0,0,0,0,0,0,0,0,0
20200226,18,0,18,0,0,0,0,0,0,0,0,0
20200227,18,0,18,0,0,0,0,0,0,0,0,0
20200228,18,0,18,0,0,0,0,0,0,0,0,0
20200229,18,0,18,0,0,0,0,0,0,0,0,0
20200301,18,0,18,0,0,0,0,0,0,0,0,0
20200302,18,0,18,0,0,0,0,0,0,0,0,0
20200303,18,0,18,0,0,0,0,0,0,0,0,0
20200304,18,0,18,0,0,0,0,0,0,0,0,0
20200305,18,0,18,0,0,0,0,0,0,0,0,0
20200306,18,0,18,0,0,0,0,0,0,0,0,0
20200307,18,0,18,0,0,0,0,0,0,0,0,0
20200308,18,0,18,0,0,0,0,0,0,0,0,0
20200309,18,0,18,0,0,0,0,0,0,0,0,0
20200310,18,0,18,0,0,0,0,0,0,0,0,0
20200311,18,0,18,0,0,0,0,0,0,0,0,0
20200312,18,0,18,0,0,0,0,0,0,0,0,0
20200313,18,0,18,0,0,0,0,0,0,0,0,0
20200314,18,0,18,0,0,0,0,0,0,0,0,0
20200315,18,0,18,0,0,0,0,0,0,0,0,0
20200316,18,0,18,0,0,0,0,0,0,0,0,0
20200317,18,0,18,0,0,0,0,0,0,0,0,0
20200318,18,0,18,0,0,0,0,0,0,0,0,0
20200319,18,0,18,0,0,0,0,0,0,0,0,0
20200320,18,0,18,0,0,0,0,0,0,0,0,0
20200321,18,0,18,0,0,0,0,0,0,0,0,0
20200322,18,0,18,0,0,0,0,0,0,0,0,0
20200323,18,0,18,0,0,0,0,0,0,0,0,0
20200324,18,0,18,0,0,0,0,0,0,0,0,0
20200325,18,0,18,0,0,0,0,0,0,0,0,0
20200326,18,0,18,0,0,0,0,0,0,0,0,0
20200327,18,0,18,0,0,0,0,0,0,0,0,0
20200328,18,0,18,0,0,0,0,0,0,0,0,0
20200329,18,0,18,0,0,0,0,0,0,0,0,0
20200330,18,0,18,0,0,0,0,0,0,0,0,0
20200331,18,0,18,0,0,0,0,0,0,0,0,0
20200401,18,0,18,0,0,0,0,0,0,0,0,0
20200402,18,0,18,0,0,0,0,0,0,0,0,0
20200403,18,0,18,0,0,0,0,0,0,0,0,0
20200404,18,0,18,0,0,0,0,0,0,0,0,0
20200405,18,0,18,0,0,0,0,0,0,0,0,0
20200406,18,0,18,0,0,0,0,0,0,0,0,0
20200407,18,0,18,0,0,0,0,0,0,0,0,0
20200408,18,0,18,0,0,0,0,0,0,0,0,0
20200409,18,0,18,0,0,0,0,0,0,0,0,0
20200410,18,0,18,0,0,0,0,0,0,0,0,0
20200411,18,0,18,0,0,0,0,0,0,0,0,0
20200412,18,0,18,0,0,0,0,0,0,0,0,0
20200413,18,0,18,0,0,0,0,0,0,0,0,0
20200414,18,0,18,0,0,0,0,0,0,0,0,0
20200415,18,0,18,0,0,0,0,0,0,0,0,0
20200416,18,0,18,0,0,0,0,0,0,0,0,0
20200417,18,0,18,0,0,0,0,0,0,0,0,0
20200418,18,0,18,0,0,0,0,0,0,0,0,0
20200419,18,0,18,0,0,0,0,0,0,0,0,0
20200420,18,0,18,0,0,0,0,0,0,0,0,0
20200421,18,0,18,0,0,0,0,0,0,0,0,0
20200422,18,0,18,0,0,0,0,0,0,0,0,0
20200423,18,0,18,0,0,0,0,0,0,0,0,0
20200424,18,0,18,0,0,0,0,0,0,0,0,0
20200425,18,0,18,0,0,0,0,0,0,0,0,0
20200426,18,0,18,0,0,0,0,0,0,0,0,0
20200427,18,0,18,0,0,0,0,0,0,0,0,0
20200428,18,0,18,0,0,0,0,0,0,0,0,0
20200429,18,0,18,0,0,0,0,0,0,0,0,0
20200430,18,0,18,0,0,0,0,0,0,0,0,0
20200501,18,0,18,0,0,0,0,0,0,0,0,0
20200502,18,0,18,0,0,0,0,0,0,0,0,0
20200503,18,0,18,0,0,0,0,0,0,0,0,0
20200504,18,0,18,0,0,0,0,0,0,0,0,0
20200505,18,0,18,0,0,0,0,0,0,0,0,0
20200506,18,0,18,0,0,0,0,0,0,0,0,0
20200507,18,0,18,0,0,0,0,0,0,0,0,0
20200508,18,0,18,0,0,0,0,0,0,0,0,0
20200509,18,0,18,0,0,0,0,0,0,0,0,0
20200510,18,0,18,0,0,0,0,0,0,0,0,0
20200511,18,0,18,0,0,0,0,0,0,0,0,0
20200512,18,0,18,0,0,0,0,0,0,0,0,0
20200513,18,0,18,0,0,0,0,0,0,0,0,0
20200514,18,0,18,0,0,0,0,0,0,0,0,0
